nm_docente;chave;foto
FRANCISCO HENRIQUE DE OLIVEIRA;K4763320P5;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4763320P5
FRANCISCO JOSE CASTILHOS KARAM;K4700059Y3;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4700059Y3
FRANCISCO JOSE RODRIGUES DE OLIVEIRA NETO;K4718567P6;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4718567P6
FRANCISCO QUINTANILHA VERAS NETO;K4795324P0;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4795324P0
FRANCIS SOLANGE VIEIRA TOURINHO;K4703081J2;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4703081J2
FRANCOISE TOLEDO REIS;K4795584E9;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4795584E9
FREDERICO FIRMO DE SOUZA CRUZ;K4787968P7;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4787968P7
FULVIO BORGES NEDEL;K4778771D5;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4778771D5
GABRIELA GONCALVES SILVEIRA FIATES;K4784413J7;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4784413J7
GABRIEL COUTINHO BARBOSA;K4797367Y7;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4797367Y7
GEISON DE SOUZA IZIDIO;;
GELCEMAR OLIVEIRA FARIAS;K4795067P2;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4795067P2
GERMAN AYALA VALENCIA;K4333684E2;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4333684E2
GERSON LUIZ ULEMA RIBEIRO;K4763996Z7;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4763996Z7
GERSON RENZETTI OURIQUES;K4781711U2;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4781711U2
GERSON RIZZATTI JUNIOR;K4717805U2;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4717805U2
GIAN RICARDO BERKENBROCK;K4753134U3;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4753134U3
GIERRI WALTRICH;K4777947A6;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4777947A6
GILBERTO DE OLIVEIRA MORITZ;K4759259A6;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4759259A6
GILBERTO SARKIS YUNES;K4792887D6;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4792887D6
GILCEIA PESCE DO AMARAL E SILVA;K4797489E6;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4797489E6
GILES ALEXANDER RAE;K4787717H8;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4787717H8
GILKA ELVIRA PONZI GIRARDELLO;K4781705P2;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4781705P2
GILLES GONCALVES DE CASTRO;K4762110Y1;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4762110Y1
GILSON BRAVIANO;K4793937Z2;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4793937Z2
GILSON GERALDINO DA SILVA JUNIOR;K4709084T5;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4709084T5
GILVAN MULLER DE OLIVEIRA;K4773392H5;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4773392H5
